ratio,amount
0.10857142857142857,1
0.10869565217391304,133
0.10884353741496598,1
0.10891089108910891,21
0.10897435897435898,1
0.10909090909090909,87
0.1092436974789916,9
0.109375,68
0.10948905109489052,2
0.1095890410958904,51
0.10975609756097561,33
0.10982658959537572,1
0.10989010989010989,28
0.11,20
0.11009174311926606,12
0.11016949152542373,5
0.11023622047244094,6
0.11029411764705882,5
0.1103448275862069,4
0.11038961038961038,2
0.11042944785276074,2
0.11046511627906977,1
0.11049723756906077,1
0.1111111111111111,1153
0.11176470588235295,2
0.1118421052631579,1
0.11188811188811189,2
0.11194029850746269,4
0.112,5
0.11206896551724138,6
0.11214953271028037,14
0.11224489795918367,20
0.11229946524064172,1
0.11235955056179775,22
0.11242603550295859,1
0.1125,48
0.11258278145695365,2
0.11267605633802817,53
0.11278195488721804,4
0.11290322580645161,77
0.11299435028248588,1
0.11304347826086956,6
0.1130952380952381,2
0.11320754716981132,121
0.11333333333333333,1
0.1134020618556701,25
0.11347517730496454,2
0.11363636363636363,149
0.11382113821138211,12
0.11392405063291139,36
0.11403508771929824,15
0.11409395973154363,4
0.11413043478260869,1
0.11428571428571428,196
0.11450381679389313,7
0.11458333333333333,28
0.11464968152866242,3
0.11475409836065574,70
0.11486486486486487,5
0.11494252873563218,36
0.11504424778761062,11
0.11510791366906475,4
0.11538461538461539,326
0.11560693641618497,2
0.11564625850340136,1
0.11570247933884298,6
0.11578947368421053,22
0.11594202898550725,60
0.11607142857142858,12
0.11612903225806452,2
0.11627906976744186,131
0.1164021164021164,1
0.11643835616438356,7
0.11650485436893204,16
0.11666666666666667,76
0.11678832116788321,8
0.11688311688311688,29
0.11695906432748537,1
0.11702127659574468,26
0.11711711711711711,17
0.1171875,5
0.11724137931034483,2
0.11728395061728394,1
0.11731843575418995,1
0.11764705882352941,572
0.11805555555555555,5
0.11811023622047244,6
0.11818181818181818,11
0.11827956989247312,28
0.11834319526627218,1
0.11842105263157894,45
0.11851851851851852,7
0.11864406779661017,59
0.1188118811881188,14
0.11888111888111888,4
0.11904761904761904,153
0.11920529801324503,2
0.11926605504587157,16
0.11940298507462686,58
0.11949685534591195,1
0.11956521739130435,30
0.11965811965811966,18
0.11971830985915492,6
0.11976047904191617,1
0.12,341
0.12030075187969924,6
0.12037037037037036,18
0.12048192771084337,37
0.12056737588652482,5
0.1206896551724138,84
0.12080536912751678,5
0.12087912087912088,29
0.12096774193548387,5
0.12101910828025478,2
0.12121212121212122,234
0.12142857142857143,2
0.12149532710280374,18
0.12162162162162163,45
0.12169312169312169,1
0.12173913043478261,17
0.12179487179487179,3
0.12195121951219512,150
0.12209302325581395,1
0.12213740458015267,4
0.12222222222222222,25
0.1223021582733813,2
0.12244897959183673,102
0.12258064516129032,1
0.12264150943396226,16
0.12269938650306748,2
0.12280701754385964,86
0.12290502793296089,1
0.12295081967213115,13
0.12307692307692308,65
0.12318840579710146,5
0.1232876712328767,41
0.12337662337662338,4
0.12345679012345678,41
0.12352941176470589,1
0.12359550561797752,25
0.12371134020618557,21
0.12380952380952381,14
0.12389380530973451,17
0.12396694214876033,12
0.12403100775193798,8
0.12408759124087591,10
0.12413793103448276,4
0.12418300653594772,3
0.12422360248447205,2
0.1242603550295858,1
0.125,1216
0.12571428571428572,1
0.12574850299401197,1
0.12578616352201258,1
0.12582781456953643,4
0.1258741258741259,2
0.1259259259259259,2
0.12598425196850394,5
0.12605042016806722,9
0.12612612612612611,17
0.1262135922330097,19
0.12631578947368421,15
0.12643678160919541,24
0.12650602409638553,1
0.12658227848101267,33
0.12666666666666668,1
