_id,credit ship amount
1000120797,117
1000120845,27
1000121041,79
1000121081,133
1000121118,87
1000121152,34
1000121187,28
1000121194,116
1000121216,55
1000121282,41
1000121293,45
1000121383,47
1000121478,124
1000121581,42
1000121690,82
1000121750,54
1000121993,19
1000122063,164
1000122074,39
1000122170,105
1000122193,119
1000122303,41
1000122351,72
1000122357,109
1000122537,87
1000122596,46
1000122646,16
1000122672,97
1000122759,129
1000122895,59
1000122903,138
1000123036,20
1000123044,59
1000123065,11
1000123087,70
1000123135,39
1000123178,46
1000123236,68
1000123279,22
1000123350,44
1000123507,101
1000123627,154
1000124009,34
1000124042,49
1000124130,54
1000124183,79
1000124454,65
1000124515,74
1000124564,37
1000124574,95
1000124577,57
1000124587,157
1000124598,122
1000124611,42
1000124675,83
1000124681,96
1000124740,118
1000124757,32
1000124835,56
1000125179,58
1000125223,46
1000125377,76
1000125417,57
1000125418,130
1000125430,50
1000125473,59
1000125507,20
1000125610,107
1000125770,106
1000125784,18
1000125822,33
1000125968,76
1000126004,150
1000126112,73
1000126553,67
1000126741,80
1000126848,86
1000126879,51
1000126914,13
1000127020,72
1000127051,77
1000127106,157
1000127136,61
1000127161,63
1000127173,26
1000127183,34
1000127312,83
1000127379,70
1000127400,152
1000127426,21
1000127727,129
1000128040,128
1000128135,21
1000128438,51
1000128513,36
1000128529,102
1000128583,13
1000128667,38
1000128774,112
1000128783,119
1000128882,95
1000128987,36
1000129035,81
1000129050,113
1000129137,47
1000129183,93
1000129186,73
1000129238,84
1000129270,40
1000129306,74
1000129312,65
1000129354,69
1000129379,105
1000129715,110
1000130247,57
1000130434,62
1000130615,175
1000130640,42
1000130696,77
1000130698,180
1000130704,34
1000130825,62
1000130860,96
1000130916,31
1000130966,45
1000131309,46
1000131370,18
1000131469,51
1000131478,102
1000131541,117
1000131641,84
1000131788,78
1000132060,42
1000132149,38
1000132183,83
1000132212,131
1000132237,85
1000132241,51
1000132247,38
1000132259,91
1000132283,84
1000132310,56
1000132329,168
1000132371,13
1000132412,84
1000132417,65
1000132517,73
1000132875,48
1000132919,118
1000133104,38
1000133297,59
1000133532,44
1000133574,94
1000133653,45
1000133670,19
1000133990,143
1000134032,33
1000134211,73
1000134462,33
1000134516,70
1000134599,196
1000134752,74
1000134806,55
1000135055,121
1000135085,90
1000135119,68
1000135144,39
1000135155,15
1000135250,81
1000135254,42
1000135735,74
1000135893,104
1000135972,21
1000136053,60
1000136057,57
1000136062,28
1000136128,90
1000136130,82
1000136140,69
1000136510,26
1000136900,37
1000136977,38
1000137049,22
1000137214,66
1000137304,77
1000137634,64
1000138019,41
1000138377,128
1000138468,126
1000138520,50
1000138711,129
1000138725,66
1000138765,74
1000138776,109
1000138860,115
1000138884,88
1000138895,18
1000138908,61
1000138970,90
1000138978,110
1000139010,17
1000139184,48
1000139226,21
1000139463,89
1000139473,68
1000139499,124
1000139525,57
1000139850,31
1000139998,12
1000140022,81
1000140108,116
1000140174,64
1000140203,64
1000140226,97
1000140256,124
1000140303,90
1000140332,63
1000140423,35
1000140500,96
1000140616,78
1000140691,44
1000140692,54
1000140905,169
1000141019,22
1000141072,122
1000141121,17
1000141165,48
1000141278,128
1000141305,85
1000141343,35
1000141379,111
1000141394,71
1000141400,118
1000141414,50
1000141430,188
1000141448,44
1000141496,137
1000141755,159
1000142015,27
1000142042,43
1000142137,128
1000142600,13
1000142663,68
1000142737,98
1000142748,24
1000143253,60
1000143355,15
1000143390,57
1000143456,103
1000143477,67
1000143487,54
1000143514,109
1000143645,92
1000143701,24
1000143734,22
1000143810,41
1000143900,78
1000144054,35
1000144065,17
1000144139,80
1000144310,81
1000144730,39
1000144838,50
1000144879,48
1000144935,59
1000145127,109
1000145361,17
1000145374,43
1000145413,98
1000145551,118
1000145686,104
1000145689,110
1000145829,25
1000145843,94
1000145851,98
1000145861,172
1000145956,21
1000146095,40
1000146143,40
1000146163,143
1000146181,43
1000146230,27
1000146270,136
1000146344,133
1000146495,14
1000146525,44
1000146757,97
1000146808,121
1000146919,154
1000146999,55
1000147116,50
1000147206,126
1000147235,124
1000147289,89
1000147395,51
1000147410,57
1000147437,93
1000147496,61
1000147513,83
1000147704,22
1000147767,120
1000148333,32
1000148803,96
1000148920,100
1000148954,42
1000149063,66
1000149177,123
1000149354,35
1000149461,52
1000149490,70
1000149491,107
1000149609,31
1000149643,63
1000149676,41
1000150000,21
1000150180,113
1000150504,41
1000150614,28
1000150655,117
1000150711,94
1000150738,108
1000150755,79
1000150801,181
1000150818,127
1000150904,39
1000151381,16
1000151467,98
1000151775,106
1000151814,92
1000151851,60
1000151913,34
1000151956,27
1000152436,90
1000152512,106
1000152534,15
1000152613,51
1000152615,65
1000152620,75
1000152626,41
1000152649,14
1000152768,88
1000152900,176
1000152918,109
1000152937,64
1000153015,106
1000153046,79
1000153072,69
1000153466,82
1000153589,100
1000153619,135
1000153802,92
1000153846,130
1000154024,102
1000154076,52
1000154115,98
1000154203,44
1000154267,71
1000154393,35
1000154518,27
1000154551,49
1000154566,76
1000154575,42
1000154629,87
1000154696,100
1000154773,44
1000154874,51
1000154882,85
1000154941,59
1000155045,103
1000155153,37
1000155158,43
1000155336,31
1000155551,170
1000155638,20
1000155648,98
1000155740,41
1000155833,97
1000155948,31
1000156020,15
1000156067,36
1000156611,47
1000156819,170
1000156983,74
1000157060,67
1000157063,62
1000157171,22
1000157252,71
1000157294,74
1000157308,58
1000157385,20
1000157429,41
1000157446,82
1000157452,20
1000157686,113
1000157977,78
1000158008,52
1000158211,143
1000158528,26
1000158635,38
1000158646,53
1000158657,103
1000158775,77
1000159152,34
1000159261,35
1000159367,128
1000159458,83
1000159602,98
1000159653,86
1000159783,96
1000159924,72
1000160271,92
1000160333,80
1000160343,46
1000160366,88
1000160371,74
1000160615,111
1000160697,48
1000160837,88
1000160879,27
1000161300,37
1000161491,106
1000161842,148
1000161917,31
