_id,overall_stats.avg_battle_values.avg_kd
1000081727,2.53
1000081774,0.35
1000081778,2.08
1000081830,1.22
1000081845,2.06
1000081927,1.19
1000081931,1.75
1000081966,0.98
1000081998,1.14
1000082020,2.02
1000082189,1.21
1000082306,1.12
1000082558,1.41
1000082863,0.78
1000082926,1.19
1000082970,1.27
1000083025,1.05
1000083097,1.43
1000083296,3.6
1000083634,2.57
1000083731,1.41
1000083742,2.15
1000083751,0.92
1000083773,1.09
1000083892,0.98
1000084183,1.68
1000084188,1.91
1000084422,1.05
1000084747,0.52
1000084854,1.36
1000084858,0.81
1000084887,0.74
1000084893,1.08
1000085012,1.57
1000085023,1.15
1000085114,1.27
1000085154,1.02
1000085177,1.28
1000085239,1.95
1000085252,2.4
1000085268,1.25
1000085391,0.77
1000085857,1.49
1000085880,1.14
1000085884,1.34
1000085947,0.93
1000086048,1.71
1000086139,1.19
1000086244,1.98
1000086267,0.86
1000086331,2.68
1000086482,1.12
1000086553,1.04
1000086651,1.48
1000086701,1.02
1000086795,0.79
1000086927,1.26
1000086938,0.88
1000087184,1.66
1000087239,2.63
1000087329,2.72
1000087342,2.15
1000087445,0.68
1000087487,1.19
1000087501,1.08
1000087507,2.41
1000087546,0.81
1000087584,2.53
1000087643,1.17
1000087796,1.98
1000087820,1.71
1000087953,1.31
1000088035,1.72
1000088108,1.36
1000088128,2.09
1000088201,1.28
1000088230,1.05
1000088303,2.08
1000088479,2.01
1000088505,1.5
1000088624,0.92
1000088670,1.78
1000088722,1.52
1000088764,0.91
1000088800,1.26
1000088899,0.39
1000089059,1.25
1000089139,0.59
1000089429,2
1000089492,0.8
1000089495,0.76
1000089652,2.55
1000089688,2.03
1000089715,1.49
1000089729,1.37
1000089780,1.39
1000089808,1.38
1000089855,1.14
1000089919,0.69
1000089934,0.87
1000089952,0.41
1000089978,0.66
1000089993,1.03
1000090007,1.37
1000090090,0.96
1000090157,1.19
1000090185,2.68
1000090478,1.21
1000090745,0.38
1000090952,2.86
1000090972,1.3
1000090990,1.3
1000091081,1.08
1000091207,1.13
1000091214,0.98
1000091230,0.54
1000091328,1.35
1000091393,1.9
1000091402,0.56
1000091495,2.34
1000091740,2.46
1000091793,0.91
1000091797,1.14
1000091827,1.33
1000091844,1.37
1000091982,1.12
1000092114,1.96
1000092593,2.42
1000092695,1.17
1000092730,1.19
1000092835,1.58
1000092855,1.13
1000092917,1.14
1000092925,1.14
1000092931,1.02
1000092939,1.71
1000092945,1.09
1000093019,2.22
1000093027,1.86
1000093048,1.58
1000093068,2.24
1000093135,0.99
1000093167,1.16
1000093190,1.94
1000093218,0.62
1000093256,0.73
1000093262,1.52
1000093475,1.32
1000093515,1.77
1000093595,0.72
1000093835,0.96
1000093951,1.05
1000094070,1.08
1000094117,1.29
1000094202,1.47
1000094315,0.76
1000094336,0.69
1000094349,1.58
1000094351,1.62
1000094372,2.33
1000094424,1.49
1000094438,0.9
1000094527,0.62
1000094877,1.95
1000095014,0.97
1000095286,1.4
1000095437,0.93
1000095454,0.91
1000095527,0.92
1000095660,0.99
1000095823,1.92
1000095852,0.68
1000095872,0.71
1000095923,0.67
1000095926,1.95
1000095971,0.39
1000096101,1.64
1000096124,0.44
1000096153,1.3
1000096155,0.85
1000096163,0.71
1000096189,1.1
1000096192,1.04
1000096199,1.27
1000096212,1.18
1000096232,0.66
1000096303,1.35
1000096498,0.93
1000096546,1.85
1000096719,1.83
1000097101,0.91
1000097315,1.12
1000097380,1.58
1000097382,1.36
1000097524,0.25
1000097777,0.93
1000097858,0.69
1000097929,1.52
1000098061,1.37
1000098068,1.47
1000098085,1.31
1000098152,1.43
1000098209,0.27
1000098294,0.93
1000098362,1.58
1000098421,1.01
1000098469,1.32
1000098470,1.39
1000098533,1.34
1000098702,1.44
1000098771,0.68
1000098796,1.3
1000098840,1.07
1000098927,1.61
1000099309,1.1
1000099356,0.8
1000099502,1.15
1000099540,1.26
1000099640,0.91
1000099681,1.92
1000099760,0.54
1000099831,0.94
1000099856,1.27
1000099864,1.93
1000100001,0.94
1000100024,1.78
1000100095,0.77
1000100149,0.68
1000100184,0.63
1000100186,1.3
1000100187,0.59
1000100245,1.35
1000100252,1.35
1000100281,1.34
1000100336,1.17
1000100346,1.06
1000100347,0.73
1000100351,1.61
1000100405,1
1000100477,0.79
1000100485,1.24
1000100493,1.15
1000100526,1.32
1000100550,1.03
1000100570,1.18
1000100596,1.32
1000100619,0.46
1000100664,1.32
1000100741,1.18
1000100784,0.97
1000100790,0.8
1000100808,1.67
1000100826,0.28
1000100850,1.36
1000100868,0.68
1000100871,1.29
1000100893,0.7
1000100931,0.81
1000101006,1.02
1000101053,2.37
1000101172,1.1
1000101276,2.04
1000101578,1.38
1000101588,1.12
1000101839,0.96
1000102034,1.5
1000102063,1.12
1000102073,1.12
1000102148,0.35
1000102244,0.92
1000102301,2.16
1000102562,1.25
1000102622,1.23
1000102664,1.12
1000102670,0.95
1000102977,1.25
1000103040,0.55
1000103055,2.14
1000103111,0.92
1000103266,1.13
1000103523,2.19
1000103648,1.54
1000103664,1.28
1000103763,1.37
1000103915,0.96
1000103934,1.06
1000104066,1.57
1000104071,0.82
1000104228,1.75
1000104267,3.34
1000104284,1.42
1000104304,0.58
1000104385,1.76
1000104391,1.11
1000104400,1.13
1000104479,1.42
1000104517,1.58
1000104551,1.33
1000104874,1.08
1000104888,2.13
1000104901,1.23
1000104949,1.33
1000105051,0.96
1000105054,2.32
1000105144,1.41
1000105301,0.95
1000105420,0.71
1000105519,1.26
1000105595,1.04
1000105597,0.48
1000105635,1.23
1000105652,3.87
1000105672,1.23
1000105690,1.64
1000105704,1.18
1000106031,1
1000106045,1.65
1000106305,0.97
1000106337,1.52
1000106562,2.47
1000106575,0.72
1000106651,1.16
1000106666,0.86
1000106677,0.43
1000106702,1.84
1000106813,1.65
1000106900,0.94
1000107677,0.98
1000107694,1.07
1000107695,0.25
1000107769,1.03
1000108159,1.65
1000108489,0.83
1000108519,1.58
1000108541,0.94
1000108563,0.7
1000108592,1.74
1000108635,1.27
1000108757,0.74
1000108841,0.7
1000108862,1.25
1000108866,1.86
1000108952,2.2
1000108988,0.86
1000109124,1.05
1000109217,1
1000109248,1.8
1000109361,0.87
1000109451,2.33
1000109606,1.43
1000110166,0.44
1000110229,1.19
1000110292,0.51
1000110392,0.66
1000110496,0.86
1000110507,1.32
1000110642,0.89
1000110731,0.74
1000110768,1.87
1000110939,1.24
1000111043,0.72
1000111160,0.83
1000111460,0.6
1000111464,1
1000111575,0.95
1000111591,2.33
1000111611,1.18
1000111718,1.41
1000112170,2.38
1000112438,0.87
1000112450,1.03
1000112477,1.7
1000112620,1.34
1000113028,1.08
1000113064,1.5
1000113111,0.77
1000113510,0.69
1000113552,1.02
1000113563,1.19
1000113566,1.61
1000113614,0.9
1000113617,1.94
1000113946,1.56
1000113974,2.13
1000114066,1.02
1000114165,0.69
1000114250,0.62
1000114566,1.82
1000114575,1.41
1000114733,0.93
1000114917,1.19
1000115183,1.05
1000115477,0.85
1000115560,1.25
1000115573,0.95
1000115699,1.41
1000115768,1.02
1000115837,0.93
1000115861,1.08
1000115896,1.06
1000115902,0.9
1000116057,1.07
1000116503,1.27
1000116560,1.55
1000116599,1.63
1000116619,1.52
1000116674,1
1000116675,0.97
1000116713,1.31
1000116835,1.14
1000116993,1.13
1000117192,1.34
1000117200,1.38
1000117287,1.26
1000117297,1.39
1000117360,2.83
1000117636,1.06
1000117942,0.49
1000118051,1.13
1000118098,0.58
1000118175,2.24
1000118193,2.56
1000118198,1.19
1000118322,1.52
1000118417,1.2
1000118433,0.62
1000118447,3.41
1000118558,0.87
1000118682,1.37
1000118742,0.79
1000119042,1.22
1000119069,0.92
1000119085,1.13
1000119103,1.35
1000119105,2.22
1000119131,1.44
1000119160,0.65
1000119204,1.36
1000119221,1.15
1000119248,0.43
1000119269,1.08
1000119276,1.03
