_id,overall_stats.avg_battle_values.avg_spot_dmg
1000119762,16969
1000120035,10696
1000120240,29069
1000120252,21973
1000120275,14710
1000120430,9608
1000120459,9091
1000120503,17912
1000120544,18059
1000120665,19321
1000120797,22532
1000120845,16303
1000121041,19005
1000121081,20249
1000121118,14993
1000121152,9478
1000121187,14346
1000121194,13010
1000121216,21347
1000121282,15307
1000121293,12595
1000121383,8365
1000121478,17754
1000121581,20209
1000121690,29291
1000121750,19035
1000121993,8218
1000122063,18476
1000122074,13848
1000122170,17040
1000122193,13762
1000122303,19492
1000122351,35600
1000122357,16794
1000122537,25709
1000122596,13455
1000122646,10312
1000122672,12313
1000122759,46860
1000122895,21045
1000122903,14765
1000123036,12022
1000123044,25142
1000123065,7890
1000123087,13092
1000123135,11219
1000123178,12382
1000123236,15944
1000123279,9605
1000123350,10473
1000123507,16802
1000123627,19371
1000124009,11499
1000124042,14279
1000124130,8457
1000124183,31654
1000124454,20872
1000124515,16643
1000124564,11708
1000124574,19641
1000124577,41783
1000124587,22450
1000124598,18281
1000124611,19713
1000124675,17911
1000124681,14587
1000124740,11464
1000124757,16347
1000124835,15237
1000125179,10761
1000125223,13143
1000125377,16324
1000125417,13940
1000125418,11863
1000125430,11395
1000125473,22348
1000125507,18910
1000125610,18319
1000125770,17675
1000125784,10567
1000125822,23982
1000125968,10404
1000126004,21053
1000126112,15394
1000126553,23165
1000126741,14141
1000126848,21910
1000126879,22417
1000126914,11578
1000127020,13013
1000127051,16291
1000127106,16428
1000127136,12060
1000127161,20090
1000127173,7925
1000127183,15337
1000127312,16157
1000127379,12704
1000127400,27385
1000127426,14827
1000127727,23451
1000128040,14645
1000128135,18861
1000128438,14514
1000128513,16307
1000128529,12305
1000128583,8790
1000128667,11247
1000128774,22469
1000128783,12515
1000128882,12110
1000128987,23096
1000129035,14974
1000129050,17818
1000129137,7046
1000129183,22315
1000129186,13946
1000129238,11466
1000129270,14266
1000129306,22580
1000129312,26281
1000129354,15961
1000129379,14108
1000129715,17389
1000130247,17188
1000130434,18507
1000130615,18261
1000130640,22200
1000130696,17186
1000130698,31588
1000130704,44191
1000130825,11961
1000130860,18091
1000130916,18425
1000130966,12521
1000131309,13121
1000131370,5648
1000131469,10973
1000131478,20569
1000131541,17502
1000131641,17620
1000131788,17361
1000132060,18936
1000132149,16986
1000132183,10373
1000132212,18441
1000132237,23539
1000132241,30544
1000132247,15140
1000132259,13484
1000132283,18194
1000132310,10560
1000132329,20339
1000132371,8405
1000132412,19481
1000132417,19843
1000132517,14409
1000132875,9862
1000132919,12852
1000133104,13545
1000133297,22004
1000133532,11867
1000133574,13551
1000133653,20223
1000133670,16652
1000133990,15762
1000134032,14524
1000134211,15407
1000134462,12013
1000134516,16556
1000134599,29094
1000134752,20297
1000134806,19318
1000135055,21919
1000135085,15817
1000135119,8637
1000135144,61329
