_id,overall_stats.avg_battle_values.avg_shoot_down
1000062558,1.86
1000062630,0.82
1000063078,1.78
1000063154,2.35
1000063251,1.95
1000063389,1.21
1000063451,0.9
1000063467,1.11
1000063488,0.56
1000063637,4.04
1000063653,0.88
1000063882,1.25
1000064032,2.2
1000064061,1.65
1000064132,4.28
1000064383,1.4
1000064443,2.41
1000064446,1.22
1000064482,1.95
1000064522,1.28
1000064540,1.18
1000064555,1.17
1000064563,1.27
1000064591,0.5
1000064638,0.89
1000064655,1.31
1000064726,1.6
1000065234,1.91
1000065551,3.78
1000065640,2.36
1000065733,0.71
1000065782,1.54
1000065830,1.76
1000065834,3.44
1000065940,6.12
1000066130,2.98
1000066285,3.57
1000066337,1.2
1000066422,1.57
1000066699,3.02
1000066702,2.24
1000066777,2.16
1000066800,3.3
1000066828,1.61
1000066829,0.81
1000066850,0.36
1000066863,1.79
1000067188,0.56
1000067287,2.21
1000067377,1.4
1000067478,1.92
1000067508,0.72
1000067568,1.91
1000067601,2.2
1000067611,2.48
1000067620,2.07
1000067782,1.31
1000067830,2.06
1000067860,2.33
1000067969,1.87
1000068014,0.84
1000068183,1.61
1000068225,1.65
1000068247,2.43
1000068290,2.28
1000068464,2.77
1000068633,2.68
1000068699,1.08
1000068702,0.43
1000068761,1.86
1000068785,2.14
1000068788,1.04
1000068792,1.47
1000068929,1.41
1000069053,1.19
1000069067,1.24
1000069312,2.89
1000069401,3.57
1000069450,1.97
1000069517,2.85
1000069553,1.2
1000069856,1.7
1000069965,1.97
1000069971,1.89
1000070001,1.45
1000070017,1.44
1000070022,2.36
1000070046,3.89
1000070083,0.66
1000070236,1.49
1000070670,1.52
1000070699,1.68
1000070749,2.2
1000070792,4.18
1000070899,0.81
1000071005,1.18
1000071019,0.5
1000071189,0.97
1000071311,1.49
1000071316,0.67
1000071354,2.3
1000071395,3.82
1000071410,1.89
1000071610,1.24
1000071629,3.67
1000071738,0.95
1000071747,1.5
1000071750,2.46
1000071768,2.1
1000071772,7.15
1000072000,0.78
1000072030,2.95
1000072266,1.6
1000072462,3.89
1000072469,2.38
1000072490,2.26
1000072818,2.4
1000072884,1.16
1000072983,1.06
1000073153,2.07
1000073157,0.66
1000073352,1.25
1000073480,1.41
1000073493,2.29
1000073529,0.85
1000073634,2.31
1000073732,1.4
1000073770,2.75
1000073776,0.62
1000073966,0.81
1000074151,0.87
1000074253,0.58
1000074275,0.97
1000074285,1.84
1000074405,1.75
1000074471,3.08
1000074495,1.42
1000074561,1.19
1000074564,3.88
1000074775,1.64
1000074821,0.67
1000075064,1.64
1000075147,1.33
1000075223,1.98
1000075279,2.79
1000075345,1.38
1000075403,2.38
1000075452,2.3
1000075522,1.05
1000075566,0.76
1000075567,14.56
1000075637,1.58
1000075655,1.18
1000075723,1.04
1000075740,0.98
1000075742,1.68
1000075760,1.97
1000075769,1.82
1000075795,1.03
1000075819,4.39
1000075824,1.55
1000075914,2.05
1000075929,0.99
1000075976,1.93
1000075985,1.95
1000076013,1.61
1000076035,2.17
1000076075,0.97
1000076127,1.67
1000076185,1.12
1000076200,1.87
1000076262,1.01
1000076293,1.28
1000076324,0.93
1000076335,1
1000076342,6.01
1000076383,1.88
1000076387,0.98
1000076398,0.91
1000076431,0.93
1000076432,2.07
1000076488,0.46
1000076505,4.36
1000076522,1.5
1000076579,3.57
1000076612,1.7
1000076645,1.27
1000076663,1.43
1000076677,0.5
1000076707,1.06
1000076750,0.55
1000076781,1.95
1000076875,1.09
1000076976,1.79
1000077082,2.14
1000077097,2.18
1000077229,1.52
1000077268,3.19
1000077307,1.55
1000077355,4.27
1000077465,0.62
1000077509,1.1
1000077527,0.8
1000077560,4.02
1000077628,2.74
1000077673,0.83
1000077846,1.9
1000077987,3.15
1000078124,3.01
1000078184,1.8
1000078414,2.15
1000078580,1.13
1000078800,1.49
1000079205,1.91
1000079220,0.33
1000079260,2
1000079282,1.7
1000079311,1.51
1000079340,1.89
1000079352,1.19
1000079360,1.53
1000079366,0.93
