_id,overall_stats.avg_battle_values.avg_dmg
1000076342,47726
1000076383,45614
1000076387,30800
1000076398,34003
1000076431,26249
1000076432,40961
1000076488,25611
1000076505,30086
1000076522,55316
1000076579,52085
1000076612,40664
1000076645,56805
1000076663,41773
1000076677,34485
1000076707,38103
1000076750,27920
1000076781,29557
1000076875,54713
1000076976,30559
1000077082,48347
1000077097,67677
1000077229,30201
1000077268,40719
1000077307,32715
1000077355,25530
1000077465,27170
1000077509,55773
1000077527,23429
1000077560,60003
1000077628,61796
1000077673,18543
1000077846,47149
1000077987,42570
1000078124,42634
1000078184,48033
1000078414,47191
1000078580,31811
1000078800,48145
1000079205,33744
1000079220,13080
1000079260,36912
1000079282,25800
1000079311,42058
1000079340,56451
1000079352,28685
1000079360,33400
1000079366,40182
1000079441,37868
1000079624,20314
1000080084,40833
1000080126,47013
1000080378,46552
1000080408,55650
1000080463,17155
1000080515,43165
1000080613,29304
1000080707,34720
1000080725,35691
1000080731,45884
1000080750,27355
1000080760,56529
1000080793,34414
1000080807,65067
1000080873,66563
1000080971,54965
1000080980,17377
1000081110,56442
1000081500,31779
1000081538,39322
1000081676,29558
1000081727,62291
1000081774,16270
1000081778,49588
1000081830,29679
1000081845,58613
1000081927,51367
1000081931,30915
1000081966,52371
1000081998,31453
1000082020,65053
1000082189,37179
1000082306,20524
1000082558,43729
1000082863,28107
1000082926,21623
1000082970,46966
1000083025,32803
1000083097,61367
1000083296,86282
1000083634,63549
1000083731,58012
1000083742,63327
1000083751,26896
1000083773,35362
1000083892,33520
1000084183,52387
1000084188,57312
1000084422,30536
1000084747,13617
1000084854,33580
1000084858,32003
1000084887,33613
1000084893,27640
1000085012,38516
1000085023,39007
1000085114,46161
1000085154,27667
1000085177,43681
1000085239,29320
1000085252,65087
1000085268,47237
1000085391,33017
1000085857,40667
1000085880,28399
1000085884,43822
1000085947,44509
1000086048,42001
1000086139,35000
1000086244,39466
1000086267,40919
1000086331,67606
1000086482,44271
1000086553,45349
1000086651,43562
1000086701,36541
1000086795,26756
1000086927,26419
1000086938,36826
1000087184,60635
1000087239,48866
1000087329,50873
1000087342,65616
1000087445,19464
1000087487,47498
1000087501,28207
1000087507,53631
1000087546,33995
1000087584,54522
1000087643,45168
1000087796,67501
1000087820,39790
1000087953,44816
1000088035,55000
1000088108,27865
1000088128,46923
1000088201,31743
1000088230,40755
1000088303,53554
1000088479,26832
1000088505,30095
1000088624,37582
1000088670,47840
1000088722,40811
1000088764,33891
1000088800,42691
1000088899,15861
1000089059,44561
1000089139,19641
1000089429,34281
1000089492,21520
1000089495,36745
1000089652,71425
1000089688,67320
1000089715,43185
1000089729,35920
1000089780,46105
1000089808,44424
1000089855,42643
1000089919,20115
1000089934,33708
1000089952,15785
1000089978,19002
1000089993,32941
1000090007,36019
1000090090,23833
1000090157,42371
1000090185,59874
1000090478,30474
1000090745,18569
1000090952,64480
1000090972,43270
1000090990,40336
1000091081,46020
1000091207,43864
1000091214,20227
1000091230,15342
1000091328,35678
1000091393,55241
1000091402,23342
1000091495,60661
1000091740,67405
1000091793,36068
1000091797,47608
1000091827,41166
1000091844,57011
1000091982,40260
1000092114,47540
1000092593,70436
1000092695,44058
1000092730,35556
1000092835,38675
1000092855,38088
1000092917,33279
1000092925,35507
1000092931,41934
1000092939,40111
1000092945,49267
1000093019,48831
1000093027,34100
1000093048,51086
1000093068,60134
1000093135,23760
1000093167,36056
1000093190,56263
1000093218,16160
1000093256,26157
1000093262,31388
1000093475,45648
1000093515,36164
1000093595,19330
1000093835,21996
1000093951,48491
1000094070,35280
1000094117,50259
1000094202,50396
1000094315,30386
1000094336,21612
1000094349,37580
1000094351,49724
1000094372,71219
1000094424,36407
1000094438,41146
1000094527,22536
1000094877,67728
1000095014,32226
1000095286,56146
1000095437,24759
1000095454,28111
1000095527,27576
1000095660,39636
1000095823,40397
1000095852,18948
1000095872,23150
1000095923,16816
1000095926,39492
1000095971,19485
1000096101,65230
1000096124,18249
1000096153,47376
