_id,overall_stats.battles
1030334762,1409
1030335012,436
1030335134,1699
1030335343,2836
1030335344,359
1030336336,567
1030336384,2817
1030336632,188
1030336715,434
1030336763,209
1030336981,137
1030338127,6132
1030338135,1267
1030338551,490
1030339199,240
1030339249,4550
1030339266,143
1030339346,3040
1030339740,2596
1030339824,1091
1030340079,722
1030340261,2367
1030340489,289
1030340558,377
1030340665,593
1030340680,320
1030340842,973
1030340952,303
1030341080,1398
1030341551,1018
1030341609,417
1030341887,427
1030341936,3664
1030342135,644
1030342184,562
1030342188,274
1030342273,2985
1030342417,1900
1030342574,705
1030343191,689
1030343232,397
1030343234,369
1030343394,223
1030343415,296
1030343621,2007
1030344161,725
1030344368,772
1030344482,496
1030344640,672
1030344825,697
1030345287,2129
1030345684,1292
1030346274,1361
1030346620,1877
1030346678,1541
1030346935,125
1030347042,1432
1030347216,120
1030347394,449
1030348011,4960
1030348207,2402
1030348280,4464
1030349089,2634
1030349140,548
1030349237,4175
1030349271,3635
1030349580,1937
1030349663,783
1030349782,1771
1030349849,5052
1030350173,2170
1030350716,260
1030350841,1473
1030350904,3027
1030351178,1465
1030351361,264
1030351599,2260
1030351683,7207
1030352019,698
1030352053,5103
1030352235,2221
1030352938,1376
1030352980,1017
1030353091,371
1030353126,185
1030353209,246
1030353232,1095
1030353288,862
1030353913,8025
1030354135,1347
1030354283,2854
1030354877,1662
1030354896,2137
1030355783,2685
1030357168,303
1030357495,853
1030357550,2415
1030357681,1026
1030357738,5324
1030357752,2369
1030357753,1823
1030358094,3872
1030358257,530
1030359033,370
1030359937,3278
1030360429,452
1030360467,2799
1030360643,5173
1030360797,3380
1030361160,576
1030361352,5069
1030361370,1032
1030361501,5755
1030362211,3001
1030362254,312
1030362304,1471
1030362386,2757
1030362422,2433
1030362794,3282
1030363134,1519
1030363175,258
1030363332,812
1030363343,502
1030363854,442
1030364368,1816
1030364782,1541
1030364800,1253
1030364907,557
1030364967,232
1030365228,305
1030365334,643
1030366303,607
1030366652,4188
1030366687,4900
1030367084,677
1030367329,423
1030367400,3590
1030367622,1041
1030367826,2671
1030367839,614
1030368451,517
1030368776,854
1030369485,647
1030370312,801
1030370466,2020
1030370584,960
1030370842,544
1030371100,2300
1030371540,901
1030372127,428
1030372225,1398
1030372855,1147
1030373471,1930
1030373740,7086
1030373830,10389
1030374241,1070
1030374671,970
1030374732,308
1030374736,2511
1030374771,2871
1030374844,123
1030375145,2572
1030375811,2310
1030375840,1438
1030376038,189
1030376097,1030
1030376605,902
1030376617,2336
1030376806,1820
1030377011,4076
1030377760,4262
1030377797,5011
1030377804,699
1030378258,1983
1030378464,2110
1030378707,967
1030378752,788
1030379159,1730
1030379332,6201
1030379333,619
1030379994,638
1030380429,322
1030380582,3502
1030380683,3708
1030380797,491
1030381067,315
1030381771,2278
1030382240,152
1030382280,184
1030382485,927
1030382725,1046
1030383217,892
1030383247,4630
1030383409,295
1030384253,1822
1030385875,2502
1030386272,1980
1030386961,1070
1030388007,3786
1030389222,113
1030389361,2717
1030389558,292
1030390204,2405
1030390265,664
1030390405,2215
1030390776,1785
1030390801,12780
1030390852,572
1030390910,1798
1030391829,1700
1030392959,989
1030393807,1884
1030394087,1658
1030395651,483
1030395655,4902
1030395908,251
1030396572,3397
1030397807,938
1030397827,2138
1030397838,246
1030397897,1547
1030397913,998
1030398274,353
1030398517,2827
1030398551,1074
1030398678,1506
1030398766,1731
1030399040,208
1030399348,2851
1030399577,1975
1030399706,1316
1030399917,288
1030400366,686
1030400467,621
1030400610,255
1030400641,141
1030401057,4163
1030401138,596
1030401160,1087
1030401942,1313
1030402313,2714
1030402668,302
1030402698,188
1030403574,2023
1030403633,251
1030403918,445
1030403944,1186
1030404296,204
1030404490,425
1030404597,2055
1030405266,3312
1030405343,2358
1030405694,743
1030406786,159
1030407120,237
1030407353,200
1030407414,4766
1030407535,323
1030408089,5763
1030408101,583
1030408396,440
1030409548,1746
1030409575,530
1030410542,849
1030410620,326
1030410844,3238
1030410964,1442
1030411188,589
1030411218,258
1030411594,735
1030411807,426
1030411848,1135
1030411878,4622
1030412046,5208
1030412074,917
1030412785,196
1030412793,279
1030412941,1447
1030412963,189
1030412994,367
1030413053,164
1030413120,754
1030413254,2081
1030413410,729
1030413639,294
1030414010,1857
1030414034,3872
1030414060,637
1030414451,1246
1030414676,1978
1030414775,448
1030414802,1018
1030415797,653
1030415802,2349
1030416293,906
1030416910,121
1030417111,1309
1030417307,4091
1030417709,2051
1030418377,3530
1030419755,1751
1030419983,1809
1030421488,5630
1030421927,1011
1030422050,1291
1030422547,2286
1030422573,344
1030423393,4030
1030423689,386
1030424020,1462
1030424576,174
1030425009,225
1030425090,538
1030425272,1327
