_id,overall_stats.avg_battle_values.avg_frags
1000075655,0.96
1000075723,0.6
1000075740,0.47
1000075742,0.6
1000075760,0.46
1000075769,0.91
1000075795,0.39
1000075819,0.85
1000075824,1.07
1000075914,0.57
1000075929,0.72
1000075976,0.92
1000075985,0.84
1000076013,0.73
1000076035,0.82
1000076075,0.78
1000076127,0.76
1000076185,0.7
1000076200,0.44
1000076262,0.78
1000076293,0.59
1000076324,0.8
1000076335,0.79
1000076342,0.87
1000076383,0.8
1000076387,0.64
1000076398,0.84
1000076431,0.72
1000076432,0.86
1000076488,0.77
1000076505,0.62
1000076522,1.03
1000076579,0.99
1000076612,1.04
1000076645,0.94
1000076663,0.84
1000076677,0.68
1000076707,0.89
1000076750,0.68
1000076781,1.01
1000076875,0.9
1000076976,0.73
1000077082,0.91
1000077097,1.01
1000077229,0.69
1000077268,0.93
1000077307,0.42
1000077355,0.52
1000077465,0.68
1000077509,1.04
1000077527,0.66
1000077560,1.05
1000077628,1.04
1000077673,0.38
1000077846,1
1000077987,0.76
1000078124,0.66
1000078184,0.79
1000078414,0.8
1000078580,0.77
1000078800,0.65
1000079205,0.94
1000079220,0.38
1000079260,0.65
1000079282,0.47
1000079311,1.02
1000079340,1.31
1000079352,0.47
1000079360,0.62
1000079366,0.77
1000079441,0.94
1000079624,0.59
1000080084,0.89
1000080126,0.94
1000080378,0.9
1000080408,1.15
1000080463,0.44
1000080515,1.03
1000080613,0.68
1000080707,0.57
1000080725,0.96
1000080731,0.95
1000080750,0.91
1000080760,0.98
1000080793,0.76
1000080807,1.16
1000080873,1.33
1000080971,1.02
1000080980,0.41
1000081110,0.86
1000081500,0.81
1000081538,0.77
1000081676,0.52
1000081727,1.11
1000081774,0.28
1000081778,1.01
1000081830,0.83
1000081845,1.13
1000081927,0.89
1000081931,0.94
1000081966,0.72
1000081998,0.72
1000082020,1.17
1000082189,0.75
1000082306,0.74
1000082558,0.91
1000082863,0.57
1000082926,0.75
1000082970,0.87
