_id,overall_stats.avg_battle_values.avg_spot
1000049386,1.03
1000049414,0.69
1000049456,1.14
1000049542,1.07
1000049545,2.13
1000049548,1.58
1000050008,1.38
1000050158,1.09
1000050468,0.56
1000050549,0.33
1000050605,0.9
1000050820,1.08
1000050909,0.67
1000050916,0.74
1000050923,1.45
1000050942,2.36
1000050992,0.32
1000051005,1.16
1000051059,0.67
1000051082,0.97
1000051095,0.94
1000051488,1.19
1000051495,0.68
1000051618,0.84
1000051720,0.9
1000051728,1.18
1000051757,1.41
1000051809,0.32
1000052236,1.03
1000052240,0.5
1000052311,0.95
1000052426,0.88
1000052456,0.67
1000052463,0.86
1000052481,1.18
1000052502,1.61
1000052683,0.65
1000052959,0.97
1000053447,1.23
1000053463,3.64
1000053468,0.72
1000053478,1.65
1000053557,0.6
1000053561,0.58
1000053598,1.1
1000053618,0.38
1000053620,0.56
1000053640,2.21
1000053651,0.77
1000053672,1.78
1000053678,0.86
1000053682,1.72
1000053823,0.37
1000054106,0.53
1000054405,2.44
1000054446,1.34
1000054466,1.03
1000054510,2.92
1000054532,0.72
1000054593,1.76
1000054701,0.35
1000054710,0.99
1000054713,0.5
1000054723,2.29
1000054728,0.96
1000054737,1.02
1000054751,1.01
1000054755,0.67
1000054812,1.29
1000054842,11.43
1000054848,1.21
1000055112,2.96
1000055175,1.29
1000055333,0.61
1000055403,0.92
1000055577,1.01
1000055594,1.51
1000055654,0.41
1000055656,0.97
1000055699,0.76
1000055842,1.84
1000055896,0.78
1000055898,0.66
1000055928,1.5
1000055933,0
1000055944,0.69
1000055947,0.31
1000056044,0.84
1000056101,1.46
1000056200,2.7
1000056437,0.85
1000056493,0.76
1000056577,0.79
1000056693,0.53
1000056710,1.57
1000056778,2.02
1000056862,0.75
1000057139,1.38
1000057183,1.67
1000057185,1.61
1000057199,1.66
1000057435,1.03
1000057502,2.03
1000057594,1.29
1000057938,1.09
1000058036,0.89
1000058120,1.11
1000058163,2.33
1000058175,1.85
1000058341,1.54
1000058420,1
1000058477,0.51
1000058916,3.55
1000059232,0.86
1000059480,1.09
1000059669,0.9
1000059693,0.91
1000059710,0.84
1000059783,1.06
1000059798,0.77
1000059883,1.07
1000059892,0.7
1000059904,2.54
1000059958,1.44
1000059978,0.86
1000059987,0.87
1000060262,1.46
1000060314,0.76
1000060382,0.68
1000060426,0.69
1000060441,1.22
1000060449,0.91
1000060464,1.17
1000060539,1.37
1000060572,0.51
1000060592,1.27
1000060606,0.69
1000060676,0.56
1000060915,0.46
1000061119,1.01
1000061142,0.46
1000061159,1.18
1000061168,0.54
1000061347,1.16
1000061355,0.43
1000061432,0.9
1000061441,0.71
1000061474,0.6
1000061485,0.69
1000061497,0.71
1000061499,1.05
1000061505,1.41
1000061538,0.31
1000061941,0.88
1000061997,0.85
1000062074,0.71
1000062198,0.38
1000062200,1.07
1000062334,1.27
1000062410,0.26
1000062513,1.12
1000062548,1.32
1000062558,0.36
1000062630,0.79
1000063078,1.62
1000063154,0.88
1000063251,1.02
1000063389,0.93
1000063451,0.25
1000063467,0.94
1000063488,1.78
1000063637,0.96
1000063653,1.05
1000063882,1.12
1000064032,1.77
1000064061,0.59
1000064132,3.14
1000064383,1.29
1000064443,1.33
1000064446,1.03
1000064482,1.44
1000064522,0.53
1000064540,1.04
1000064555,1.33
1000064563,1.58
1000064591,2.12
1000064638,1.43
1000064655,1.16
1000064726,0.76
1000065234,0.89
1000065551,1
1000065640,1.21
1000065733,0.86
1000065782,1.01
1000065830,1.45
1000065834,1.66
1000065940,2.73
1000066130,2.14
1000066285,2.23
1000066337,1.6
1000066422,0.98
1000066699,0.77
1000066702,1.5
1000066777,0.32
1000066800,1.42
1000066828,0.19
1000066829,1.22
1000066850,1.53
1000066863,0.87
1000067188,0.69
1000067287,1.33
1000067377,0.89
1000067478,0.55
1000067508,0.81
1000067568,1.26
1000067601,1.01
1000067611,0.67
1000067620,1.35
1000067782,0.67
1000067830,0.76
1000067860,1.37
1000067969,0.81
1000068014,0.44
1000068183,0.82
1000068225,0.85
1000068247,0.7
1000068290,0.54
1000068464,1.54
1000068633,3.35
1000068699,0.89
1000068702,0.67
1000068761,1.25
1000068785,0.6
1000068788,0.75
1000068792,0.27
1000068929,1.42
1000069053,2.32
1000069067,1.19
1000069312,1.2
1000069401,1.55
1000069450,1.03
1000069517,0.53
1000069553,0.72
1000069856,0.85
1000069965,1.51
1000069971,0.53
1000070001,0.84
1000070017,0.96
1000070022,0.8
1000070046,1.84
1000070083,0.67
1000070236,1.03
1000070670,0.95
1000070699,0.63
1000070749,0.92
1000070792,1.17
1000070899,0.91
1000071005,0.12
1000071019,1.35
1000071189,0.67
1000071311,1.55
1000071316,0.86
1000071354,1.19
1000071395,1.26
1000071410,1.13
1000071610,3.23
1000071629,1.56
1000071738,1.2
1000071747,1.36
1000071750,0.35
1000071768,0.95
1000071772,8.29
1000072000,0.71
1000072030,1.46
1000072266,0.26
1000072462,0.17
1000072469,0.8
1000072490,0.51
1000072818,0.66
1000072884,1.23
1000072983,0.47
