_id,overall_stats.avg_battle_values.avg_exp
1000086267,1047
1000086331,1771
1000086482,1033
1000086553,1391
1000086651,1390
1000086701,1187
1000086795,901
1000086927,906
1000086938,1150
1000087184,1512
1000087239,1225
1000087329,1532
1000087342,1704
1000087445,579
1000087487,1561
1000087501,1162
1000087507,1023
1000087546,1227
1000087584,1656
1000087643,1086
1000087796,1461
1000087820,1040
1000087953,1407
1000088035,1308
1000088108,702
1000088128,1330
1000088201,923
1000088230,938
1000088303,1587
1000088479,713
1000088505,1043
1000088624,1112
1000088670,1253
1000088722,1281
1000088764,980
1000088800,1379
1000088899,528
1000089059,1451
1000089139,723
1000089429,1211
1000089492,834
1000089495,1136
1000089652,1516
1000089688,1781
1000089715,1308
1000089729,1243
1000089780,1301
1000089808,1282
1000089855,1290
1000089919,628
1000089934,1182
1000089952,658
1000089978,639
1000089993,934
1000090007,961
1000090090,651
1000090157,1324
1000090185,1270
1000090478,1024
1000090745,811
1000090952,1472
1000090972,1231
1000090990,969
1000091081,1301
1000091207,1149
1000091214,797
1000091230,451
1000091328,909
1000091393,1500
1000091402,851
1000091495,1528
1000091740,1832
1000091793,868
1000091797,1100
1000091827,1101
1000091844,1494
1000091982,1010
1000092114,1420
1000092593,1860
1000092695,1313
1000092730,1241
1000092835,1128
1000092855,1325
1000092917,1133
1000092925,1011
1000092931,1221
1000092939,1281
1000092945,1492
1000093019,1544
1000093027,1179
1000093048,1134
1000093068,1778
1000093135,748
1000093167,1253
1000093190,1414
1000093218,658
1000093256,953
1000093262,992
1000093475,1350
1000093515,1090
1000093595,833
1000093835,747
1000093951,1188
1000094070,1193
1000094117,1095
1000094202,1459
1000094315,1108
1000094336,684
1000094349,1086
1000094351,1453
1000094372,1833
1000094424,833
1000094438,1256
1000094527,1031
1000094877,1553
1000095014,1126
1000095286,1207
1000095437,704
1000095454,822
1000095527,1033
1000095660,1030
1000095823,1163
1000095852,608
1000095872,717
1000095923,546
1000095926,970
1000095971,948
1000096101,1685
1000096124,748
1000096153,1384
1000096155,1173
1000096163,1201
1000096189,864
1000096192,920
1000096199,896
1000096212,1227
1000096232,513
1000096303,755
1000096498,1112
1000096546,1254
1000096719,1259
1000097101,1299
1000097315,1474
1000097380,1269
1000097382,1418
1000097524,607
1000097777,707
1000097858,676
1000097929,1226
1000098061,1289
1000098068,1124
1000098085,1114
1000098152,1136
1000098209,721
1000098294,1090
1000098362,1118
1000098421,931
1000098469,1396
1000098470,1294
1000098533,970
1000098702,1476
1000098771,894
1000098796,1239
1000098840,873
1000098927,1442
1000099309,1155
1000099356,752
1000099502,1135
1000099540,1432
1000099640,764
1000099681,1140
1000099760,932
1000099831,871
1000099856,926
1000099864,1461
1000100001,1168
1000100024,1692
1000100095,725
1000100149,993
1000100184,662
1000100186,1547
1000100187,673
1000100245,798
1000100252,829
1000100281,1292
1000100336,1124
1000100346,1032
1000100347,617
1000100351,1039
1000100405,669
1000100477,1102
1000100485,823
1000100493,1392
1000100526,952
1000100550,1071
1000100570,631
1000100596,1230
1000100619,702
1000100664,1028
1000100741,1079
1000100784,1138
1000100790,1032
1000100808,1088
1000100826,828
1000100850,1072
1000100868,979
1000100871,976
1000100893,864
1000100931,1017
1000101006,1008
1000101053,1762
1000101172,1358
1000101276,1312
1000101578,1322
1000101588,938
1000101839,956
1000102034,940
1000102063,1274
1000102073,1238
1000102148,668
1000102244,1137
1000102301,1841
1000102562,652
1000102622,1313
1000102664,910
1000102670,1194
1000102977,808
1000103040,831
1000103055,1571
1000103111,883
1000103266,802
1000103523,1539
1000103648,1429
1000103664,1355
1000103763,1306
1000103915,931
1000103934,1241
1000104066,1623
1000104071,1198
1000104228,910
1000104267,1699
1000104284,1561
1000104304,990
1000104385,1100
1000104391,1046
1000104400,1120
1000104479,1319
1000104517,1165
1000104551,1177
1000104874,1249
1000104888,1154
1000104901,932
1000104949,1002
1000105051,1160
1000105054,1169
1000105144,1377
1000105301,1181
1000105420,1214
1000105519,1505
1000105595,1160
1000105597,604
1000105635,728
1000105652,2196
1000105672,912
1000105690,1270
1000105704,1195
1000106031,1125
1000106045,1499
1000106305,1287
1000106337,1254
1000106562,1870
1000106575,588
1000106651,1248
1000106666,858
1000106677,613
1000106702,1321
1000106813,1468
1000106900,907
1000107677,1079
1000107694,1203
1000107695,425
1000107769,978
1000108159,822
1000108489,1399
1000108519,1361
1000108541,1017
1000108563,761
1000108592,1218
1000108635,829
1000108757,588
1000108841,789
1000108862,1479
1000108866,1048
1000108952,1582
1000108988,937
1000109124,1111
1000109217,1056
1000109248,1501
1000109361,1414
1000109451,1419
1000109606,970
1000110166,1069
1000110229,956
1000110292,628
1000110392,952
1000110496,1114
1000110507,1352
1000110642,985
1000110731,1107
1000110768,1618
1000110939,1284
1000111043,751
1000111160,1119
1000111460,614
1000111464,1277
1000111575,1015
1000111591,1349
1000111611,1283
1000111718,1290
1000112170,1805
1000112438,938
1000112450,1293
1000112477,1373
1000112620,1145
1000113028,1331
1000113064,1624
1000113111,1063
1000113510,629
1000113552,1221
1000113563,907
1000113566,1613
1000113614,1313
1000113617,1253
1000113946,855
1000113974,1552
1000114066,913
1000114165,833
1000114250,683
1000114566,1228
1000114575,1447
1000114733,1047
1000114917,1353
1000115183,895
1000115477,956
1000115560,1022
1000115573,1022
1000115699,1414
1000115768,825
1000115837,1155
1000115861,1279
1000115896,1284
1000115902,1033
1000116057,939
1000116503,1153
1000116560,1072
1000116599,1038
1000116619,1449
1000116674,1223
1000116675,950
1000116713,988
1000116835,1032
1000116993,1433
1000117192,1229
1000117200,1296
1000117287,1596
1000117297,1569
1000117360,1811
1000117636,1275
1000117942,497
1000118051,930
1000118098,841
1000118175,1254
1000118193,2125
1000118198,1277
1000118322,810
1000118417,878
1000118433,1028
1000118447,1564
1000118558,1272
1000118682,1106
1000118742,879
1000119042,1158
1000119069,876
1000119085,1338
1000119103,901
1000119105,1631
1000119131,1572
1000119160,1206
1000119204,1221
1000119221,560
1000119248,993
1000119269,656
1000119276,1096
1000119288,1280
1000119297,1166
1000119300,965
1000119315,542
1000119319,1031
1000119335,1016
1000119381,646
1000119413,1511
1000119480,1254
1000119541,706
1000119578,1402
1000119580,1087
1000119686,878
1000119762,1059
1000120035,929
1000120240,1274
1000120252,1647
1000120275,1457
1000120430,532
1000120459,693
1000120503,1247
1000120544,793
1000120665,1014
1000120797,1738
1000120845,977
1000121041,1483
1000121081,1628
1000121118,921
1000121152,900
1000121187,1264
1000121194,1191
1000121216,894
1000121282,1004
1000121293,792
1000121383,747
1000121478,1432
1000121581,1179
1000121690,1487
1000121750,898
1000121993,970
1000122063,1178
1000122074,949
1000122170,1188
1000122193,1322
1000122303,1312
1000122351,1509
1000122357,1417
1000122537,1110
1000122596,1159
1000122646,514
1000122672,1065
1000122759,2351
1000122895,1671
1000122903,898
1000123036,847
1000123044,1014
1000123065,470
1000123087,678
1000123135,1137
1000123178,1061
1000123236,1399
1000123279,488
1000123350,844
1000123507,1464
1000123627,1189
1000124009,568
1000124042,982
1000124130,1065
1000124183,967
1000124454,1264
1000124515,1060
1000124564,636
1000124574,1299
1000124577,1108
1000124587,1394
1000124598,1134
1000124611,1561
1000124675,994
1000124681,942
1000124740,1022
1000124757,1029
1000124835,827
1000125179,854
1000125223,693
1000125377,1217
1000125417,1075
1000125418,948
1000125430,708
1000125473,869
1000125507,1325
1000125610,1140
1000125770,801
1000125784,871
1000125822,1128
1000125968,1031
1000126004,1440
1000126112,865
1000126553,1563
1000126741,853
1000126848,1222
1000126879,1553
1000126914,651
1000127020,660
1000127051,1340
1000127106,1150
1000127136,906
1000127161,923
1000127173,629
1000127183,729
1000127312,1025
1000127379,1214
1000127400,1824
1000127426,763
1000127727,1393
1000128040,1324
1000128135,700
1000128438,894
1000128513,841
1000128529,639
1000128583,549
1000128667,618
1000128774,1424
1000128783,836
1000128882,1023
1000128987,854
1000129035,837
1000129050,987
1000129137,616
1000129183,1041
1000129186,1094
1000129238,1019
1000129270,808
1000129306,1110
1000129312,1705
1000129354,895
1000129379,1294
1000129715,1346
1000130247,1585
1000130434,963
1000130615,1183
1000130640,1463
1000130696,1068
1000130698,1942
1000130704,1336
1000130825,963
1000130860,1499
1000130916,1606
1000130966,1209
1000131309,1302
1000131370,834
1000131469,1180
1000131478,906
1000131541,1279
1000131641,681
1000131788,1076
1000132060,773
1000132149,1264
1000132183,1089
1000132212,1417
1000132237,1321
1000132241,1665
1000132247,931
1000132259,970
1000132283,1076
1000132310,732
1000132329,1485
1000132371,1178
1000132412,1013
1000132417,1149
1000132517,1277
1000132875,966
1000132919,1026
1000133104,774
1000133297,1433
1000133532,735
1000133574,1365
1000133653,1012
1000133670,1389
1000133990,1254
1000134032,895
1000134211,942
1000134462,845
1000134516,1142
1000134599,1734
1000134752,1275
1000134806,1177
1000135055,1043
1000135085,1299
1000135119,990
1000135144,1630
1000135155,601
1000135250,816
1000135254,1176
1000135735,980
1000135893,1415
1000135972,1087
1000136053,1492
1000136057,1272
1000136062,833
1000136128,1053
1000136130,974
1000136140,1482
1000136510,1396
1000136900,1242
1000136977,898
1000137049,740
1000137214,1277
1000137304,958
1000137634,923
1000138019,1045
1000138377,1482
1000138468,1059
1000138520,905
1000138711,1249
1000138725,1818
1000138765,854
1000138776,1409
1000138860,1430
1000138884,875
1000138895,480
1000138908,625
1000138970,1445
1000138978,1388
1000139010,638
1000139184,876
1000139226,410
1000139463,1277
1000139473,826
1000139499,1845
1000139525,1095
1000139850,900
1000139998,729
1000140022,676
1000140108,1241
1000140174,1359
1000140203,1167
1000140226,1483
1000140256,918
1000140303,956
1000140332,1039
1000140423,1197
1000140500,1182
1000140616,1102
1000140691,1179
1000140692,1320
1000140905,1714
1000141019,606
1000141072,1299
1000141121,1296
1000141165,804
1000141278,998
1000141305,1464
1000141343,986
1000141379,1674
1000141394,1435
1000141400,1138
1000141414,1110
1000141430,1403
1000141448,1214
1000141496,1127
1000141755,1707
1000142015,776
1000142042,787
1000142137,1543
1000142600,1214
1000142663,1277
1000142737,917
